Time Interval Index,Tariff
1,0.12
2,0.12
3,0.12
4,0.12
5,0.12
6,0.12
7,0.12
8,0.12
9,0.12
10,0.12
11,0.12
12,0.12
13,0.12
14,0.12
15,0.12
16,0.12
17,0.12
18,0.12
19,0.12
20,0.12
21,0.12
22,0.12
23,0.12
24,0.12
25,0.12
26,0.12
27,0.12
28,0.12
29,0.12
30,0.12
31,0.12
32,0.21
33,0.21
34,0.21
35,0.21
36,0.21
37,0.21
38,0.21
39,0.21
40,0.21
41,0.21
42,0.21
43,0.21
44,0.21
45,0.21
46,0.21
47,0.21
48,0.21
49,0.21
50,0.21
51,0.21
52,0.21
53,0.21
54,0.21
55,0.21
56,0.21
57,0.21
58,0.21
59,0.21
60,0.21
61,0.21
62,0.21
63,0.21
64,0.21
65,0.21
66,0.21
67,0.21
68,0.21
69,0.21
70,0.21
71,0.21
72,0.21
73,0.21
74,0.21
75,0.21
76,0.21
77,0.21
78,0.21
79,0.21
80,0.21
81,0.21
82,0.21
83,0.21
84,0.21
85,0.21
86,0.21
87,0.21
88,0.21
89,0.21
90,0.21
91,0.21
92,0.21
93,0.21
94,0.21
95,0.21
96,0.21
97,0.21
98,0.21
99,0.21
100,0.21
101,0.21
102,0.21
103,0.12
104,0.12
105,0.12
106,0.12
107,0.12
108,0.12
109,0.12
110,0.12
111,0.12
112,0.12
113,0.12
114,0.12
115,0.12
116,0.12
117,0.12
118,0.12
119,0.12
120,0.12
121,0.12
122,0.12
123,0.12
124,0.12
125,0.12
126,0.12
127,0.12
128,0.12
